push,oc_push,oc_nopush,contrast
1,0.982,0.884,0.098
2,0.905,0.86,0.046
3,0.964,0.837,0.127
4,0.981,0.816,0.165
5,0.99,0.932,0.057
6,0.985,0.966,0.019
7,0.985,0.953,0.032
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.995,0.973,0.022
14,0.966,0.8,0.166
15,0.989,0.931,0.058
16,0.98,0.867,0.112
17,0.987,0.811,0.176
18,0.946,0.976,-0.029
19,0.988,0.979,0.009
20,0.992,0.891,0.101
21,0.986,0.967,0.019
22,0.992,0.985,0.006
23,0.902,0.935,-0.033
24,0.983,0.98,0.003
25,0.861,0.975,-0.115
26,0.991,0.966,0.025
27,0.986,0.82,0.166
28,0.982,0.916,0.066
29,0.984,0.872,0.112
30,0.991,0.863,0.128
31,0.987,0.975,0.012
32,0.982,0.947,0.035
33,0.984,0.968,0.016
34,0.992,0.969,0.022
35,0.977,0.862,0.115
36,0.989,0.965,0.024
37,0.968,0.666,0.303
38,0.972,0.84,0.132
39,0.98,0.964,0.016
40,0.981,0.895,0.086
41,0.991,0.929,0.061
42,0.981,0.951,0.03
43,0.963,0.919,0.044
44,0.981,0.643,0.338
45,0.983,0.711,0.272
46,0.98,0.917,0.063
47,0.984,0.795,0.19
48,0.981,0.739,0.242
49,0.98,0.699,0.282
50,0.979,0.872,0.107
51,0.985,0.816,0.17
52,0.979,0.755,0.224
