meas,oc_push,oc_nopush,contrast
0,0.748,0.893,-0.145
1,0.76,0.916,-0.156
2,0.689,0.906,-0.218
3,0.931,0.956,-0.025
4,0.763,0.89,-0.127
5,0.913,0.712,0.201
6,0.869,0.712,0.157
7,0.768,0.654,0.114
8,0.915,0.81,0.105
9,0.73,0.803,-0.072
10,0.975,0.887,0.088
11,0.83,1.011,-0.181
12,0.853,0.854,-0.002
13,0.592,0.728,-0.136
14,0.697,0.748,-0.052
15,0.76,0.875,-0.115
16,0.962,0.879,0.083
17,0.766,0.844,-0.078
18,0.692,0.862,-0.17
19,0.99,0.73,0.26
20,0.767,0.919,-0.151
21,0.888,0.939,-0.051
22,0.5,0.744,-0.244
23,0.877,0.613,0.264
