# digitised from the scatter plot received from Caenen on 2026-09-24
push,colour,speed_m_s
1,blue,1.64
1,orange,1.7
1,yellow,1.82
1,green,1.95
1,purple,2.1
5,orange,4.45
5,blue,5.06
5,yellow,5.59
15,green,1.21
15,purple,1.33
15,yellow,1.4
18,green,1.74
18,blue,1.89
18,purple,1.93
20,orange,1.37
20,purple,1.52
20,green,1.64
20,yellow,1.67
21,green,1.17
21,purple,1.23
21,blue,1.42
22,blue,1.25
22,green,1.34
22,orange,1.45
23,green,1.49
23,yellow,1.66
24,green,1.08
24,yellow,1.43
24,blue,1.8
25,green,1.1
25,yellow,1.25
25,purple,1.36
27,purple,1.8
27,yellow,2.4
