# swp_version: 0.1.0
# swp_git_commit: ec851caf33f9a4502c4de0590c177ca6098e638b
# swp_git_branch: main
# swp_git_dirty: 9 modified: .gitignore, configs/passive.yaml, docs/TODO.md, docs/review_followup_2026-09-24.md, report/README.md, study/analysis/field_stage4.py, study/analysis/manual_slope.py, study/analysis/passive_methods_atlas.py, study/analysis/score_panels.py
# swp_git_diff_sha256: 0e27e4212c1e2699007754a9fd030906bb557b7b5446f98bdb684fd939e3f673
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T14:38:24+00:00
# keras_backend: torch
# command: map_mlines_b3_to_b4.py
# config_sha256: a66799dbb68a94c0509d0dce137fbb233d7659b8d4aaefe4c03109e25e05e05b
buffer,depth_mm,known,err_median_mm,err_max_mm,est_dx,est_dz,est_angle,corr,spread_mm
b3 standard,45.0,"(+0.0,+0.0,+0deg)",0.11144002871500074,0.1114400287150008,-0.07880000000000001,-0.07880000000000109,0.0,0.9104179935228927,0.0
b3 standard,45.0,"(+2.0,-1.5,+0deg)",0.12015739677606353,0.12015739677606353,-2.0882,1.4183999999999983,0.0,0.9239938439473463,0.0394000000000001
b3 standard,45.0,"(-3.0,+2.0,+0deg)",0.1353024759566515,0.1353024759566518,2.955,-2.127600000000001,0.0,0.9296064550681874,0.039400000000000546
b3 standard,45.0,"(+1.0,+1.0,+3deg)",0.1412128166905353,0.31232000398350457,-1.0638,-1.103200000000001,-2.0,0.9214861153844952,0.0
b3 standard,70.0,"(+0.0,+0.0,+0deg)",0.08810107831349273,0.08810107831349293,-0.039400000000000004,-0.07880000000000109,0.0,0.874528208641282,0.0
b3 standard,70.0,"(+2.0,-1.5,+0deg)",0.1201573967760587,0.1201573967760587,-2.0882,1.4184000000000054,0.0,0.8965042107228025,0.0
b3 standard,70.0,"(-3.0,+2.0,+0deg)",0.08797545112132125,0.08797545112132125,3.0732,-2.0488,0.0,0.8522120783998722,0.039400000000000546
b3 standard,70.0,"(+1.0,+1.0,+3deg)",0.15624303722123345,0.30033916512194736,-1.0638,-1.1426000000000016,-2.25,0.8649962000113374,0.0
b3 standard,95.0,"(+0.0,+0.0,+0deg)",0.11144002871500074,0.1114400287150008,0.07880000000000001,0.07880000000000109,0.0,0.8774970346296228,0.055720014357500375
b3 standard,95.0,"(+2.0,-1.5,+0deg)",0.13271563585350105,0.13271563585350105,-1.8912,1.5759999999999934,0.0,0.8804901025556588,0.05572001435750008
b3 standard,95.0,"(-3.0,+2.0,+0deg)",0.07719326395483127,0.07719326395483166,3.0338000000000003,-1.9305999999999983,0.0,0.8572562668469369,0.03939999999999966
b3 standard,95.0,"(+1.0,+1.0,+3deg)",0.14561469194723253,0.24397673304972733,-0.9062,-0.9849999999999994,-2.0,0.8671046137919788,0.04707178072456286
b3 REFoCUS,45.0,"(+0.0,+0.0,+0deg)",0.11144002871500074,0.1114400287150008,-0.07880000000000001,-0.07880000000000109,0.0,0.9097552933071779,0.0
b3 REFoCUS,45.0,"(+2.0,-1.5,+0deg)",0.09777566159326248,0.09777566159326248,-2.0882,1.4577999999999989,0.0,0.9253732430633472,0.0394000000000001
b3 REFoCUS,45.0,"(-3.0,+2.0,+0deg)",0.0990163622842209,0.0990163622842213,2.955,-2.0882000000000005,0.0,0.9318237473922157,0.039400000000000546
b3 REFoCUS,45.0,"(+1.0,+1.0,+3deg)",0.1353155743021886,0.272941375071992,-1.0638,-1.0638000000000005,-2.0,0.9219194729326269,0.0
b3 REFoCUS,70.0,"(+0.0,+0.0,+0deg)",0.039400000000000546,0.039400000000000546,0.0,-0.039400000000000546,0.0,0.9186286679562897,0.0394000000000001
b3 REFoCUS,70.0,"(+2.0,-1.5,+0deg)",0.09507891459203302,0.09507891459203302,-2.0488,1.4184000000000054,0.0,0.9221243492953818,0.039400000000000546
b3 REFoCUS,70.0,"(-3.0,+2.0,+0deg)",0.08797545112132125,0.08797545112132125,3.0732,-2.0488,0.0,0.9127901642243439,0.07879999999999932
b3 REFoCUS,70.0,"(+1.0,+1.0,+3deg)",0.1433880353403955,0.3044814585230407,-0.9850000000000001,-1.1426000000000016,-2.25,0.9034158260581032,0.08810107831349194
b3 REFoCUS,95.0,"(+0.0,+0.0,+0deg)",0.15760000000000218,0.15760000000000218,0.0,0.15760000000000218,0.0,0.8809298996855887,0.039400000000000546
b3 REFoCUS,95.0,"(+2.0,-1.5,+0deg)",0.16964492329568334,0.16964492329568343,-1.9305999999999999,1.6547999999999945,0.0,0.880402502010707,0.055720014357500715
b3 REFoCUS,95.0,"(-3.0,+2.0,+0deg)",0.1483057652284658,0.14830576522846584,2.9944,-1.8517999999999972,0.0,0.8702814401900171,0.039400000000000546
b3 REFoCUS,95.0,"(+1.0,+1.0,+3deg)",0.14390183486321959,0.290360834410578,-0.9456,-0.8667999999999978,-2.25,0.8805782679513124,0.08810107831349283
