# swp_version: 0.1.0
# swp_git_commit: ec851caf33f9a4502c4de0590c177ca6098e638b
# swp_git_branch: main
# swp_git_dirty: 5 modified: .gitignore, docs/TODO.md, docs/review_followup_2026-09-24.md, report/README.md, study/analysis/passive_methods_atlas.py
# swp_git_diff_sha256: 9d5f975a3be58fc10b4ca23ba2dcca4221ff4790c960f1860233678e8efea46d
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T13:03:44+00:00
# keras_backend: torch
# command: mline_difference_check.py
# config_sha256: 86d603333fb72e4552213be920ed3da4748cf2b4fa39933f3247fe66cdf17f8b
subject,window,event,line_mm,overlap,angle_deg,line_after_mm,selftest_dx_mm,selftest_dz_mm,shift_b1b3_mm,corr_b1b3,phase_offset_ms,shift_phase_mm,corr_phase,shift_b1b4_mm,corr_b1b4,shift_b3b4_mm,corr_b3b4,coh_b1,coh_b3,len_b1_mm,len_b3_mm
C000000002,0,MVC,9.266331186143901,0.26,26.718086161611723,5.7758808337856635,1.8124,-1.4578000000000002,5.384122086282963,0.5560509269036746,19.599999999999994,0.5300727874547042,0.9643383282903182,0.27860007178749974,0.9518095691103852,4.775696087482955,0.5843188866382204,0.7887623501897706,0.63748484177767,18.688747294859244,27.329356792483015
C000000003,1,AVC,1.607972268180186,0.796,16.686133407349445,1.59216815229868,1.9306000000000003,-1.4184,2.018264759638834,0.7064599083313087,10.300000000000011,0.2364,0.8465380165345193,0.9786756970518887,0.7238013769249908,1.9342149828806519,0.5363302467349007,0.9332400529787053,0.9214904895403274,21.494729697606935,27.893657942186252
C000000004,1,AVC,1.9471829642043605,0.556,18.32796426227827,2.124815902507734,1.8912,-1.3396000000000001,0.6686401722899993,0.7752404965691111,-15.300000000000011,0.12459373981063415,0.9901679108700875,0.8311439105233221,0.9203393287957989,0.5641221498930883,0.740949862497364,0.9718306127564043,0.9501960002763751,18.81836645029541,35.414312915980446
C000000008,2,AVC,1.7193337880340973,0.416,2.949244277423162,4.506246834278695,1.8518000000000001,-1.4184,2.805158255785224,0.6403237748959889,1.6999999999999886,0.039400000000000004,0.9981763445236917,0.42435098680219896,0.7432328667203741,2.1583865177488484,0.5484460123392385,0.9188912294038097,0.9118386395023329,17.864051001972875,42.68509991870852
C000000018,0,MVC,7.370089989710257,0.668,2.790188015655332,3.542426037088119,1.8912,-1.4972,5.989966333795207,0.47850243323710506,-6.600000000000001,0.16716004307249982,0.9757488993179975,1.2239392958803146,0.6949018562002833,5.477875391061757,0.5884979135911046,0.9479257194885788,0.9077524092153988,20.48735441007122,30.47135748709443
C000000019,1,AVC,2.4514138533183085,0.588,1.155519126194548,0.4721607494371475,1.8518000000000001,-1.4184,4.24661819804889,0.6937932779211499,7.5,0.1114400287149999,0.9851101554596681,0.35678217444261423,0.8984830146072769,3.8250481042726774,0.6291571033050729,0.9177298006885832,0.8932933089790354,21.60428033488612,35.584816693737636
C000000020,1,AVC,1.834374235073205,0.5,14.205487966863018,1.4493591333197502,1.8912,-1.4184,11.191264664907179,0.5610573379143268,11.5,0.23966084369374985,0.9724417065662383,0.7760899947815332,0.903233881516847,11.667789633002474,0.5202364874196624,0.89899537245559,0.875981585969999,20.608377200003005,43.17352064273051
C000000022,1,AVC,3.754681093332003,0.7,18.243581326195667,2.7424239519671323,1.9306000000000003,-1.4578000000000002,0.9967499184850732,0.6540999075286865,4.399999999999977,0.17620215662698346,0.9797706853561687,2.7492618718485153,0.6101127319302093,4.441552755512423,0.40441209503449344,0.8773927258555256,0.8612904536601997,21.19787381560504,31.5611846921645
C000000027,0,MVC,0.4346819191847144,0.42,6.430557456540015,1.653389268354992,1.8912,-1.4578000000000002,1.8854454115672508,0.8475911705067054,16.39999999999999,0.17620215662698346,0.973978883714669,0.6413855314863285,0.9354802638139497,2.179500309704039,0.777603961411509,0.8798004767277825,0.9193606847526604,18.885740819421876,37.05216648115548
C000000029,1,AVC,2.234216496788777,0.084,27.85812164698632,1.0546266793187393,1.8912,-1.3396000000000001,1.9561613941594902,0.8587933387841082,-7.5,0.039400000000000004,0.9789512323295901,0.27860007178749974,0.9182701877203738,1.788690571339828,0.7750038997688123,0.8561788491415464,0.8278387694524459,21.23825133184721,22.156652961723317
