subject,window,part,label,quantity,score,meaning,hand_speed,note
C000000003,1,full,AVC,displacement,3,clear,3.344,
C000000003,1,full,AVC,velocity,2,plausible,17.516,
C000000004,1,right,AVC,displacement,1,guess,2.163,
C000000004,1,right,AVC,velocity,2,plausible,0.804,
C000000008,2,right,AVC,displacement,0,none,0.461,
C000000008,2,right,AVC,velocity,0,none,0.449,
C000000019,1,left,AVC,displacement,3,clear,3.415,
C000000019,1,left,AVC,velocity,3,clear,5.366,
C000000020,1,left,AVC,displacement,3,clear,3.281,
C000000020,1,left,AVC,velocity,3,clear,3.521,
C000000022,1,full,AVC,displacement,3,clear,0.913,
C000000022,1,full,AVC,velocity,2,plausible,0.933,
C000000029,1,left,AVC,displacement,3,clear,2.795,
C000000029,1,left,AVC,velocity,2,plausible,7.088,
C000000002,0,right,MVC,displacement,2,plausible,6.085,
C000000002,0,right,MVC,velocity,3,clear,7.059,
C000000018,0,left,MVC,displacement,1,guess,1.978,
C000000018,0,left,MVC,velocity,3,clear,2.278,
C000000027,0,right,MVC,displacement,3,clear,2.727,
C000000027,0,right,MVC,velocity,3,clear,3.06,
C000000037,1,left,MVC,displacement,2,plausible,1.868,
C000000037,1,left,MVC,velocity,2,plausible,5.421,
C000000039,0,right,MVC,displacement,3,clear,3.325,
C000000039,0,right,MVC,velocity,3,clear,5.164,
C000000040,2,right,MVC,displacement,1,guess,2.598,
C000000040,2,right,MVC,velocity,2,plausible,3.945,
C000000042,0,left,MVC,displacement,2,plausible,1.0,
C000000042,0,left,MVC,velocity,2,plausible,3.922,
C000000045,0,right,MVC,displacement,0,none,1.133,
C000000045,0,right,MVC,velocity,1,guess,2.67,
