# swp_version: 0.1.0
# swp_git_commit: ec851caf33f9a4502c4de0590c177ca6098e638b
# swp_git_branch: main
# swp_git_dirty: 9 modified: .gitignore, configs/passive.yaml, docs/TODO.md, docs/review_followup_2026-09-24.md, report/README.md, study/analysis/field_stage4.py, study/analysis/manual_slope.py, study/analysis/passive_methods_atlas.py, study/analysis/score_panels.py
# swp_git_diff_sha256: 0e27e4212c1e2699007754a9fd030906bb557b7b5446f98bdb684fd939e3f673
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T15:17:07+00:00
# keras_backend: torch
# command: passive_atlas_all15.py --lines b3to4 --sets v2
# config_sha256: 81dc8c278c2eb5c48e70b417179ec66d0d8f9c667b1e181c928f0ecda77f7ffc
line,set,family,recipe,clear,plausible,guess_none,separation,n
b1,v1,quantity,displacement,2.4079722354936397,1.9703921254981673,1.8019076880033416,0.6060645474902981,15
b1,v1,quantity,velocity,2.3895841763034014,2.1892464417983777,1.899751878844268,0.48983229745913337,15
b1,v1,quantity,acceleration,2.190532451238556,1.712904463822676,1.949345765471814,0.24118668576674196,15
b1,v1,band_displacement,5-150 Hz,1.9500958445606509,1.6990553542301852,1.6334416706145265,0.3166541739461244,15
b1,v1,band_displacement,10-150 Hz,2.4079722354936397,1.9703921254981673,1.8019076880033416,0.6060645474902981,15
b1,v1,band_displacement,15-100 Hz,2.5662964993026964,2.3345790716536783,1.8649525759834455,0.7013439233192509,15
b1,v1,band_displacement,15-90 Hz,2.5506942182842964,2.3345815779014596,1.8560750004712898,0.6946192178130066,15
b1,v1,band_displacement,8-45 Hz,2.0522571004331027,1.8360121566920222,1.6651252366006135,0.3871318638324892,15
b1,v1,band_displacement,30-150 Hz,2.8269046945483063,2.386241929220725,1.9270995651089684,0.8998051294393379,15
b1,v1,band_velocity,5-150 Hz,2.2018418780653923,2.0541095661068542,1.7674272670177744,0.4344146110476179,15
b1,v1,band_velocity,10-150 Hz,2.3895841763034014,2.1892464417983777,1.899751878844268,0.48983229745913337,15
b1,v1,band_velocity,15-100 Hz,2.4719162919964965,2.2457302647037602,1.8658100963079365,0.6061061956885601,15
b1,v1,band_velocity,15-90 Hz,2.416419026020473,2.2473718256271082,1.827662883799054,0.5887561422214191,15
b1,v1,band_velocity,8-45 Hz,2.2258598985059153,2.0651515672730674,1.755715281408576,0.47014461709733935,15
b1,v1,band_velocity,30-150 Hz,2.8687133329218524,1.9796302472563205,1.966155756692563,0.9025575762292894,15
b1,v1,directional,"displacement, none",2.4079722354936397,1.9703921254981673,1.8019076880033416,0.6060645474902981,15
b1,v1,directional,"displacement, keep toward low r",2.270552688615733,1.7192240008483133,1.6777260878089102,0.5928266008068226,15
b1,v1,directional,"displacement, keep toward high r",2.2812170886275824,1.9390303644697686,1.7647335435346871,0.5164835450928953,15
b1,v1,directional,"velocity, none",2.3895841763034014,2.1892464417983777,1.899751878844268,0.48983229745913337,15
b1,v1,directional,"velocity, keep toward low r",2.33699517510924,2.467590527829753,1.6744072431684418,0.6625879319407981,15
b1,v1,directional,"velocity, keep toward high r",2.393697244121035,2.2300939383202536,2.074703442334093,0.31899380178694203,15
b1,v1,spatial,none,2.297466046453441,1.93604495019979,1.6695774261074503,0.6278886203459908,15
b1,v1,spatial,Gaussian 0.6 x 1.2 mm (view A),2.4079722354936397,1.9703921254981673,1.8019076880033416,0.6060645474902981,15
b1,v1,spatial,Gaussian 1.0 x 2.0 mm,2.4272905575110633,1.9514746983094347,1.8450431573352302,0.5822474001758331,15
b1,v1,spatial,Gaussian 2.0 x 4.0 mm,2.477106777269861,1.9440919616366321,1.8823439949797531,0.5947627822901078,15
b1,v1,spatial,median 1.0 x 2.0 mm,2.366167900975622,1.976462918748796,1.7493727772122145,0.6167951237634075,15
b1,v1,temporal,none,2.4285051495793937,1.978360436922829,1.8068664796511247,0.621638669928269,15
b1,v1,temporal,moving mean 3 (view A),2.4079722354936397,1.9703921254981673,1.8019076880033416,0.6060645474902981,15
b1,v1,temporal,moving mean 5,2.368200457699686,1.9584333395987292,1.7915561106069458,0.5766443470927403,15
b1,v1,temporal,moving median 5,2.388700120682657,1.9629970713418867,1.7919085456490085,0.5967915750336483,15
b1,v1,mline,1 line,2.4178066180430546,2.002295970243574,1.808651930325218,0.6091546877178367,15
b1,v1,mline,5 lines x 0.5 mm (view A),2.4079722354936397,1.9703921254981673,1.8019076880033416,0.6060645474902981,15
b1,v1,mline,9 lines x 0.8 mm,2.399698778507572,1.9573314172539336,1.8190173530054128,0.5806814255021593,15
b1,v1,mline,15 lines x 0.8 mm,2.408979827220632,1.9599252832847383,1.7945218606714703,0.6144579665491616,15
b1,v1,motion,band-pass 10-150 (view A),2.4079722354936397,1.9703921254981673,1.8019076880033416,0.6060645474902981,15
b1,v1,motion,+ IQ slow-time low-pass 250 Hz,2.4123721987361577,1.930437937344819,1.8280142102981034,0.5843579884380543,15
b1,v1,motion,+ IQ SVD clutter (1 component),2.4399927433628656,1.989372227524664,1.7794075443985182,0.6605851989643474,15
b1,v1,motion,polynomial detrend (order 3) + low-pass 150,2.185393988750819,1.9929917757248508,2.039055564665381,0.14633842408543796,15
b1,v1,motion,high-pass 5 Hz only (bulk motion kept),1.962035812380197,1.699866931727872,1.6421972286063173,0.31983858377387975,15
b1,v1,literature,"Keijzer 2019/20: IQ low-pass 250, velocity, R1 Gauss 4 mm, 15-100 Hz",2.4826979380664875,2.4791487364856994,1.9673026917120402,0.5153952463544473,15
b1,v1,literature,"Petrescu / Santos: acceleration, velocity mean 3",2.742620348375183,1.8737903359298314,1.666204188746573,1.07641615962861,15
b1,v1,literature,"Espeland 2024 CFWI: 2 cm/s clutter filter, envelope derivative",2.5395842202163803,2.270539100548581,2.1502967084100373,0.389287511806343,15
b1,v1,views,"A: displacement, 10-150, Gauss 0.6, mean 3, 5 lines",2.4079722354936397,1.9703921254981673,1.8019076880033416,0.6060645474902981,15
b1,v1,views,"B: displacement, 5-150, median 1 x 2, no temporal, 9 lines",1.937614611956695,1.7014245572567763,1.6425727235479652,0.2950418884087298,15
b1,v1,views,"C: velocity, 15-90, Gauss 1.0 x 2.0, mean 5, 9 lines",2.5706626705973368,2.486721055401854,1.8796831745200921,0.6909794960772446,15
b1,v2,spatial,none,2.0857507789318372,1.9828150801275248,1.4800067669441772,0.60574401198766,15
b1,v2,spatial,Gaussian 0.3 x 0.6 mm,2.218016504337304,2.151322847552849,1.6904366031008107,0.5275799012364932,15
b1,v2,spatial,Gaussian 0.6 x 1.2 mm (default),2.4031030147908456,2.2353264211296646,1.9033446414546547,0.499758373336191,15
b1,v2,spatial,Gaussian 1.0 x 2.0 mm,2.561206794969106,2.365474916371613,2.1457766710579387,0.4154301239111673,15
b1,v2,spatial,Gaussian 1.5 x 3.0 mm,2.625842616091435,2.5049725638118834,2.222560198308334,0.40328241778310137,15
b1,v2,spatial,Gaussian 2.0 x 4.0 mm,2.64982406167391,2.57349343670885,2.172180853781378,0.4776432078925321,15
b1,v2,spatial,median 1.0 x 2.0 mm,2.284155261250035,2.2192276728539375,1.7333913643806895,0.5507638968693456,15
b1,v2,temporal,none,2.386657456215378,2.241573283311925,1.9056845855782958,0.48097287063708216,15
b1,v2,temporal,moving mean 3 (default),2.4031030147908456,2.2353264211296646,1.9033446414546547,0.499758373336191,15
b1,v2,temporal,moving mean 5,2.4421078687378053,2.224570898393364,1.8666868077273264,0.5754210610104789,15
b1,v2,temporal,moving mean 7,2.354052566061305,2.2296644442731317,1.7687656851963731,0.5852868808649321,15
b1,v2,temporal,moving mean 9,2.4255029433193975,2.232701772887692,1.6491452921297625,0.7763576511896351,15
b1,v2,temporal,moving median 5,2.42360122623138,2.1968396475517484,1.8681259720990981,0.5554752541322818,15
b1,v2,temporal,"Savitzky-Golay 9, order 3",2.459755172813602,2.2418879618173655,1.9149468890045156,0.5448082838090864,15
b1,v2,mline,1 line,2.3403068901913358,2.2477211192225752,1.807871545966056,0.5324353442252798,15
b1,v2,mline,3 lines x 0.5 mm,2.369331802552205,2.238017979427812,1.8481989879248009,0.5211328146274041,15
b1,v2,mline,5 lines x 0.5 mm (default),2.4031030147908456,2.2353264211296646,1.9033446414546547,0.499758373336191,15
b1,v2,mline,9 lines x 0.5 mm,2.4360092323000475,2.224296924569318,1.9328113123506538,0.5031979199493937,15
b1,v2,mline,9 lines x 0.8 mm,2.473878427736727,2.306664336994901,1.9099844571166398,0.5638939706200872,15
b1,v2,mline,15 lines x 0.5 mm,2.4764179401586954,2.315349056907967,1.9127907785874938,0.5636271615712016,15
b1,v2,mline,15 lines x 0.8 mm,2.509623733074374,2.4020599875406536,1.8998112344350662,0.6098124986393079,15
b1,v2,combined,"none: no spatial, no temporal, 1 line",1.837603853167387,1.6416388818461156,1.202230425282559,0.635373427884828,15
b1,v2,combined,"light: Gauss 0.3 x 0.6, mean 3, 3 lines",2.169255919185558,2.1153198154788253,1.6359904934321068,0.5332654257534513,15
b1,v2,combined,"default: Gauss 0.6 x 1.2, mean 3, 5 lines",2.4031030147908456,2.2353264211296646,1.9033446414546547,0.499758373336191,15
b1,v2,combined,"medium: Gauss 1.0 x 2.0, mean 5, 9 lines",2.5815447962259204,2.4326598187518615,2.055545179538788,0.5259996166871326,15
b1,v2,combined,"heavy: Gauss 2.0 x 4.0, mean 9, 15 lines",2.5113158801064626,2.443813087753067,2.0151017881809192,0.49621409192554333,15
b1,v2,svd,no SVD (default),2.4031030147908456,2.2353264211296646,1.9033446414546547,0.499758373336191,15
b1,v2,svd,"IQ SVD, 1 component removed",2.3887149646382504,2.292474816739909,1.8132582856782533,0.5754566789599971,15
b1,v2,svd,"IQ SVD, 2 components removed",2.414715468683892,2.2547105842764776,2.0347426819961174,0.37997278668777446,15
b1,v2,svd,"IQ SVD, 3 components removed",2.4378504814460875,2.370751372975789,2.134059126549868,0.30379135489621945,15
b1,v2,svd,"velocity-field SVD, 1 component",2.328365154223932,2.2701906544041774,1.898201670486527,0.4301634837374051,15
b1,v2,svd,IQ SVD 2 + low-pass 150 only (SVD as motion filter),1.773662555346613,1.6621837511038817,1.82818764108915,-0.054525085742537005,15
b1,v2,cfwi,"velocity 15-150 (default, reference)",2.4031030147908456,2.2353264211296646,1.9033446414546547,0.499758373336191,15
b1,v2,cfwi,CFWI 1 cm/s,2.325109178047496,1.68020588128401,1.6254231793122416,0.6996859987352546,15
b1,v2,cfwi,CFWI 2 cm/s (Espeland),2.326001999859664,2.0637160533573353,1.826511616121644,0.49949038373802024,15
b1,v2,cfwi,CFWI 3 cm/s,2.1667687281636057,1.9382155298442845,2.0217850119002834,0.1449837162633223,15
b1,v2,cfwi,CFWI 4 cm/s,1.9734146606750032,1.6287082783100866,2.095810016561786,-0.12239535588678274,15
b1,v2,cfwi,CFWI 2 cm/s + band-pass 15-150,3.4895993128774556,3.9127722630171267,3.4103865716648247,0.07921274121263089,15
b3,v1,quantity,displacement,2.0917374386267937,1.8778008574628406,1.6010764054624567,0.49066103316433707,15
b3,v1,quantity,velocity,2.173354866220839,2.010082773053375,1.643615970831889,0.5297388953889499,15
b3,v1,quantity,acceleration,2.347765092042217,1.5798022467727768,1.0592931057256587,1.2884719863165581,15
b3,v1,band_displacement,5-150 Hz,1.7960553602658742,1.5266721824709566,1.6230712711824984,0.1729840890833758,15
b3,v1,band_displacement,10-150 Hz,2.0917374386267937,1.8778008574628406,1.6010764054624567,0.49066103316433707,15
b3,v1,band_displacement,15-100 Hz,2.3265259087528847,2.001034027222615,1.5758368205291386,0.750689088223746,15
b3,v1,band_displacement,15-90 Hz,2.336168883517079,2.000744102214828,1.5726252449132088,0.7635436386038701,15
b3,v1,band_displacement,8-45 Hz,1.9173619035102072,1.678197439791561,1.5386307742893393,0.37873112922086793,15
b3,v1,band_displacement,30-150 Hz,2.3727474536798616,2.12011278102571,1.6284281273488899,0.7443193263309718,15
b3,v1,band_velocity,5-150 Hz,1.923349091464965,1.739485056696312,1.6157114945822484,0.3076375968827165,15
b3,v1,band_velocity,10-150 Hz,2.173354866220839,2.010082773053375,1.643615970831889,0.5297388953889499,15
b3,v1,band_velocity,15-100 Hz,2.2771779556673426,2.145141673861909,1.6375915746317156,0.639586381035627,15
b3,v1,band_velocity,15-90 Hz,2.282863564590083,2.1174736642904253,1.6442550773093874,0.6386084872806956,15
b3,v1,band_velocity,8-45 Hz,1.837490133137709,1.911143479892523,1.6260524882644947,0.21143764487321426,15
b3,v1,band_velocity,30-150 Hz,2.295627949468869,1.9009596216641125,1.5013543169331784,0.7942736325356905,15
b3,v1,directional,"displacement, none",2.0917374386267937,1.8778008574628406,1.6010764054624567,0.49066103316433707,15
b3,v1,directional,"displacement, keep toward low r",1.9093928422170356,1.7932601407937183,1.680106718813042,0.22928612340399357,15
b3,v1,directional,"displacement, keep toward high r",1.9437634202349976,1.7586021753884995,1.6799450759722352,0.2638183442627624,15
