# swp_version: 0.1.0
# swp_git_commit: ec851caf33f9a4502c4de0590c177ca6098e638b
# swp_git_branch: main
# swp_git_dirty: 4 modified: .gitignore, docs/TODO.md, docs/review_followup_2026-09-24.md, study/analysis/passive_methods_atlas.py
# swp_git_diff_sha256: 0ab43f9f8b0cedf8d9a0432c3b3249e01bd75f38d2b80884abdf32793f52e876
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T12:16:09+00:00
# keras_backend: torch
# command: passive_methods_atlas.py --set v2
# config_sha256: 94ac4f47fa3a92413fe90d5ce8a4b8c6031e7b89c1e9bd356527a3babf14d2da
family,recipe,hand_tracking_median,hand_tracking_min,n,none_window_best_line
spatial,none,2.0031073825340115,1.593054174736133,6,1.0237696373827896
spatial,Gaussian 0.3 x 0.6 mm,2.142657917112929,1.839428814689382,6,1.2235408037253734
spatial,Gaussian 0.6 x 1.2 mm (default),2.238177422571712,2.028889695619442,6,1.5223458578815245
spatial,Gaussian 1.0 x 2.0 mm,2.3027771484719706,2.0908314117655,6,1.9195689649908285
spatial,Gaussian 1.5 x 3.0 mm,2.4132467251456076,2.142938976933837,6,2.00189969546656
spatial,Gaussian 2.0 x 4.0 mm,2.476824871167266,2.1844195273215288,6,1.8600576006775777
spatial,median 1.0 x 2.0 mm,2.2095029551168746,1.8805327932711933,6,1.3709272653328148
temporal,none,2.2182833882511614,1.9904180432344245,6,1.524183898699671
temporal,moving mean 3 (default),2.238177422571712,2.028889695619442,6,1.5223458578815245
temporal,moving mean 5,2.26351708294665,2.0823290224163915,6,1.482799533618602
temporal,moving mean 7,2.281064729907074,2.1496942864620716,6,1.377881644327071
temporal,moving mean 9,2.217407011417913,2.0143907974130313,6,1.2901451623023992
temporal,moving median 5,2.2211417531758872,2.0238671418214493,6,1.4844521836867641
temporal,"Savitzky-Golay 9, order 3",2.2457882278258876,2.0206563618109548,6,1.5080440108110786
mline,1 line,2.189966489399345,1.9746472733528013,6,1.3945383622611909
mline,3 lines x 0.5 mm,2.2112880895087588,2.0046813783603192,6,1.4469946804801266
mline,5 lines x 0.5 mm (default),2.238177422571712,2.028889695619442,6,1.5223458578815245
mline,9 lines x 0.5 mm,2.281557694271372,2.057992807891316,6,1.5675784421700267
mline,9 lines x 0.8 mm,2.329350296014842,2.097900218497963,6,1.5153358963626977
mline,15 lines x 0.5 mm,2.3317216755480374,2.103502919198503,6,1.5245389012753867
mline,15 lines x 0.8 mm,2.319447278813632,2.1550895994275447,6,1.4681765548986767
combined,"none: no spatial, no temporal, 1 line",1.7304624933354045,1.1335619268388808,6,0.8831295995747864
combined,"light: Gauss 0.3 x 0.6, mean 3, 3 lines",2.0687299026502455,1.7366414663653753,6,1.2056575979945854
combined,"default: Gauss 0.6 x 1.2, mean 3, 5 lines",2.238177422571712,2.028889695619442,6,1.5223458578815245
combined,"medium: Gauss 1.0 x 2.0, mean 5, 9 lines",2.368380478789036,2.1546771757138,6,1.7963155395759471
combined,"heavy: Gauss 2.0 x 4.0, mean 9, 15 lines",2.386639006548463,2.216873105800041,6,1.9518711849533839
svd,no SVD (default),2.238177422571712,2.028889695619442,6,1.5223458578815245
svd,"IQ SVD, 1 component removed",2.227365010358291,2.156218867954568,6,1.4005224650923036
svd,"IQ SVD, 2 components removed",2.220757239620803,1.892333020483901,6,1.842381973705646
svd,"IQ SVD, 3 components removed",2.2303246103638266,1.93749757106237,6,1.955559098555496
svd,"velocity-field SVD, 1 component",2.2017530802215792,0.3771482787031256,6,1.4854599165874063
svd,IQ SVD 2 + low-pass 150 only (SVD as motion filter),1.596167843240681,1.2629401328349534,6,1.535070852991644
cfwi,"velocity 15-150 (default, reference)",2.238177422571712,2.028889695619442,6,1.5223458578815245
cfwi,CFWI 1 cm/s,0.7469511965718584,0.27389559917209577,6,1.5243321450099465
cfwi,CFWI 2 cm/s (Espeland),0.6462933986715247,0.36656178441193144,6,1.617539059848225
cfwi,CFWI 3 cm/s,0.6205382603084972,0.4652670534098651,6,1.688845006202481
cfwi,CFWI 4 cm/s,0.723091475492122,0.4705658844740061,6,1.8360571937333008
cfwi,CFWI 2 cm/s + band-pass 15-150,0.4515430094860691,0.12715234410457557,6,3.5104206764582346
