# swp_version: 0.1.0
# swp_git_commit: 5bd8c717c95bebc32a1c25562763a2ad57f6c3f4
# swp_git_branch: review-followup
# swp_git_dirty: 87 modified: README.md, configs/passive.yaml, docs/HANDOFF.md, docs/low_snr_extraction_sweep.md, docs/passive_search.md, docs/passive_speed_estimation.md, docs/phantom_parameter_sweep.md, pyproject.toml, run.py, scripts/ablation.py -> scripts/archive/ablation.py, ... (+77)
# swp_git_diff_sha256: fdb7b34ebe097ccb5241e828ff24ef7f062adb40eaaa4aee74858b9f713a5004
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T10:17:24+00:00
# keras_backend: torch
# command: quantity_speeds.py
# config_sha256: f2ddcd64166144fa0b364b4e1c9d2cfef0f7153dc9a0ff43b41796320e81f577
subject,window,part,label,disp,vel,acc,hand_disp,hand_vel
C000000003,1,full,AVC,4.759358288770054,3.955555555555556,2.486033519553073,3.343917848427769,17.516437257391107
C000000004,1,right,AVC,2.866344605475041,2.866344605475041,2.1445783132530125,2.163311910991642,0.8037108512009912
C000000008,2,right,AVC,-2.0965842167255597,1.0,1.0,-0.4606413413753958,-0.4492277314978834
C000000019,1,left,AVC,12.191780821917808,9.673913043478262,9.673913043478262,3.4151528053756426,5.366387499223527
C000000020,1,left,AVC,3.1560283687943267,4.759358288770054,4.759358288770054,3.2814616642120664,3.5211848753490664
C000000022,1,full,AVC,1.0446009389671362,1.0807528840315725,1.7131857555341674,0.9133210126021616,0.9331024677345598
C000000029,1,left,AVC,2.9568106312292364,4.759358288770054,4.759358288770054,2.7952746637351127,7.08825889216983
C000000002,0,right,MVC,-8.018018018018019,10.787878787878787,8.018018018018019,6.085231831816524,7.058717879495739
C000000018,0,left,MVC,9.673913043478262,2.360742705570292,1.5696649029982364,1.9781994894954975,2.277755467794431
C000000027,0,right,MVC,2.7812500000000004,2.866344605475041,2.866344605475041,2.726812816295146,3.059508672055671
C000000037,1,left,MVC,3.7953091684434974,5.615141955835963,-4.529262086513995,1.8677775815460582,5.420863845489675
C000000039,0,right,MVC,3.7953091684434974,3.955555555555556,2.9568106312292364,3.325364055597908,5.163646022932624
C000000040,2,right,MVC,4.129930394431555,3.7953091684434974,2.486033519553073,2.5978403513364103,3.9447152697665477
C000000042,0,left,MVC,1.0,2.0965842167255597,4.529262086513995,0.9999239363999695,3.9216301152193243
C000000045,0,right,MVC,20.0,-20.0,-8.768472906403941,1.132718753484436,2.6701085400506592
