# swp_version: 0.1.0
# swp_git_commit: ec851caf33f9a4502c4de0590c177ca6098e638b
# swp_git_branch: main
# swp_git_dirty: 5 modified: .gitignore, docs/TODO.md, docs/review_followup_2026-09-24.md, report/README.md, study/analysis/passive_methods_atlas.py
# swp_git_diff_sha256: 89bcd192b4f0b62e54f209c40e38ee9f54ab7d41c649eaccbd0313ee5925a2fe
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T14:23:20+00:00
# keras_backend: torch
# command: smoothing_effect_check.py
# config_sha256: f6eb9f3846d1859b3b78241ba55a2713a416520dec73ce67c20217c5e23824cf
family,recipe,rel_rms_diff,rel_rms_diff_max,corr_to_default,n
temporal,none,0.06288253515958786,0.12501952052116394,0.9983506556238975,15
temporal,moving mean 3 (default),0.0,0.0,1.0,15
temporal,moving mean 5,0.09107371419668198,0.19254179298877716,0.9963869520710591,15
temporal,moving mean 7,0.18406414985656738,0.38835543394088745,0.9848336079890868,15
temporal,moving mean 9,0.27395689487457275,0.547602653503418,0.9676236467362452,15
temporal,moving median 5,0.05585747957229614,0.11327152699232101,0.9984532326985326,15
temporal,"Savitzky-Golay 9, order 3",0.05136282369494438,0.1035655215382576,0.9986904834994625,15
mline,1 line,0.16841720044612885,0.3498094975948334,0.9884094944428558,15
mline,3 lines x 0.5 mm,0.10153808444738388,0.2119828462600708,0.9958864423230713,15
mline,5 lines x 0.5 mm (default),0.0,0.0,1.0,15
mline,9 lines x 0.5 mm,0.1877926141023636,0.404030978679657,0.9828419306104519,15
mline,9 lines x 0.8 mm,0.3319980204105377,0.6757591366767883,0.9474621349137916,15
mline,15 lines x 0.5 mm,0.3441024720668793,0.6894791722297668,0.9414939223776619,15
mline,15 lines x 0.8 mm,0.49542924761772156,0.8236575126647949,0.8755818628557196,15
spatial,none,0.6244097352027893,1.6171497106552124,0.8769023181021861,15
spatial,Gaussian 0.3 x 0.6 mm,0.27112317085266113,0.6812286972999573,0.9714689904438218,15
spatial,Gaussian 0.6 x 1.2 mm (default),0.0,0.0,1.0,15
spatial,Gaussian 1.0 x 2.0 mm,0.18882140517234802,0.44997310638427734,0.9834050604448791,15
spatial,Gaussian 1.5 x 3.0 mm,0.3229210376739502,0.6970058083534241,0.9497054252535879,15
spatial,Gaussian 2.0 x 4.0 mm,0.41115260124206543,0.8090705871582031,0.9174302966078209,15
spatial,median 1.0 x 2.0 mm,0.27988898754119873,0.8035040497779846,0.9670539603895048,15
